CODE,TITLE,DATE
BIZADV2,BIZARRE ADVENTURES VOL. 2,2019
BK,BLACK KNIGHT,1955-1956
BK2,BLACK KNIGHT VOL. 2,1990
BK4,BLACK KNIGHT VOL. 4,2016
BK:E,BLACK KNIGHT: EXODUS,1996
BLAZE,BLAZE,1994-1995
BLAZE:LOB,BLAZE: LEGACY OF BLOOD,1993-1994
BLD,BLADE,1998
BLD2,BLADE VOL. 2 (STRANGE TALES IMPRINT),1998-1999
BLD3,BLADE VOL. 3,1999-2000
BLD4,BLADE VOL. 4 (MAX IMPRINT),2002
BLD5,BLADE VOL. 5,2006-2007
BLDRB,BALDER THE BRAVE,1985-1986
BLDVH,BLADE THE VAMPIRE-HUNTER,1994-1995
BLINK,BLINK,2001
BLKSTNM,"BLACKSTONE, THE MAGICIAN",1948
BLKSTNMD,"BLACKSTONE, THE MAGICIAN DETECTIVE",1948
BLTPNTS,BULLET POINTS,2007
BLTS&BRCLTS,BULLETS AND BRACELETS,1996
BOG,BLAZE OF GLORY,2000
BOM/C,BEST OF MARVEL COMICS,1987
BORDER,BLACK ORDER,2019
BORN,BORN,2003
BP,BLACK PANTHER,1977-1979
BP2,BLACK PANTHER VOL. 2,1988
BP3,BLACK PANTHER VOL. 3,1998-2003
BP4,BLACK PANTHER VOL. 4,2005-2008
BP5,BLACK PANTHER VOL. 5,2009-2010
BP6,BLACK PANTHER VOL. 6,2016-2017
BP7,BLACK PANTHER VOL. 7,2018-2021
BP&CREW,BLACK PANTHER & THE CREW,2017
BP:LLTK TPB,BLACK PANTHER: LONG LIVE THE KING TPB,2018
BP:MDMA,BLACK PANTHER: MOST DANGEROUS MAN ALIVE,2011-2012
BP:MWF,BLACK PANTHER: MAN WITHOUT FEAR,2011
BP:PP,BLACK PANTHER: PANTHER'S PREY,1990-1991
BP:S&F,BLACK PANTHER: SOUND & FURY,2018
BP:WWKNDA,BLACK PANTHER: WORLD OF WAKANDA,2017
BPV.DP,BLACK PANTHER VS. DEADPOOL,2018-2019
BPENBITS,BULLPEN BITS,
BPHANTOM,BLONDE PHANTOM,1947-1949
BRB:GH,BETA RAY BILL: GODHUNTER,2009
BRSCRS,BEN REILLY: SCARLET SPIDER,2017-2018
BSCARS,BATTLE SCARS,2012
BSEED,BLOODSEED,1993
BSEP ∞,BLACK SEPTEMBER ∞,1995
BSHP,BISHOP,1994-1995
BSHP:LXM,BISHOP: THE LAST X-MAN,1999-2001
BSHP:XSE,BISHOP: XAVIER SECURITY ENFORCER,1998
BSTONE,BLOODSTONE,2001-2002
BSUN:X,BLACK SUN: X-MEN,2000
BTHRU,BREAK-THRU,1993-1994
BTIDE,BATTLETIDE,1992-1993
BTIDE2,BATTLETIDE VOL. 2,1993
BUCKY:WSOL,BUCKY BARNES: WINTER SOLDIER,2014-2015
BUG,BUG,1997
BULL,BULLSEYE,2017
BULL:GH,BULLSEYE: GREATEST HITS,2004-2005
BULL:PG,BULLSEYE: PERFECT GAME,2010-2011
BUZZ,BUZZ,2000
BW,BLACK WIDOW,1999
BW2,BLACK WIDOW VOL. 2,2001
BW3,BLACK WIDOW VOL. 3,2002
BW4,BLACK WIDOW VOL. 4,2004-2005
